Timestamp,Month,Day,Hour,Total Hours,Load,PV,Tou Tariff,FiT,H2 Tariff
08/01/2023,1,0,7,175,1921.835,0,0.023085,0.0115425,0.203581711
08/01/2023,1,0,8,176,1880.835,0,0.0490644,0.0245322,0.204521964
08/01/2023,1,0,9,177,1933.835,0,0.0817551,0.04087755,0.297970551
08/01/2023,1,0,10,178,1736,3295.92,0.0927027,0.04635135,0.173980711
08/01/2023,1,0,11,179,1713,8618.62,0.1019439,0.05097195,0.350155618
08/01/2023,1,0,12,180,1469,8889.87,0.100602,0.050301,0.231324295
08/01/2023,1,0,13,181,1473,10901.4,0.0979461,0.04897305,0.200234407
08/01/2023,1,0,14,182,1417,1531.73,0.1030851,0.05154255,0.257977737
08/01/2023,1,0,15,183,1466,0,0.1025289,0.05126445,0.152562628
08/01/2023,1,0,16,184,1423,0,0.1073889,0.05369445,0.13067813
08/01/2023,1,0,17,185,3673,0,0.1131606,0.0565803,0.360036004
08/01/2023,1,0,18,186,3278,0,0.1141956,0.0570978,0.14315117
08/01/2023,1,0,19,187,3279,0,0.1079451,0.05397255,0.226961382
08/01/2023,1,0,20,188,2991,0,0.1028259,0.05141295,0.272097255
08/01/2023,1,0,21,189,4248,0,0.0973809,0.04869045,0.201440682
08/01/2023,1,0,22,190,4253,0,0.0981099,0.04905495,0.306562751
09/01/2023,1,0,23,191,4259,0,0.0805563,0.04027815,0.174791579
09/01/2023,1,1,0,192,4225,0,0.0744021,0.03720105,0.354096533
09/01/2023,1,1,1,193,4219,0,0.0689373,0.03446865,0.342898539
09/01/2023,1,1,2,194,4219,0,0.0596961,0.02984805,0.360036004
09/01/2023,1,1,3,195,4383,0,0.047061,0.0235305,0.176600672
09/01/2023,1,1,4,196,4354,0,0.0709407,0.03547035,0.163574451
09/01/2023,1,1,5,197,4350,0,0.0895104,0.0447552,0.360036004
09/01/2023,1,1,6,198,4683,0,0.1057887,0.05289435,0.141852412
09/01/2023,1,1,7,199,3803,0,0.1230543,0.06152715,0.190832268
09/01/2023,1,1,8,200,4712,0,0.1412298,0.0706149,0.146966101
09/01/2023,1,1,9,201,4690,0,0.1544022,0.0772011,0.262976729
09/01/2023,1,1,10,202,4710,58.2154,0.1477683,0.07388415,0.272990468
09/01/2023,1,1,11,203,4035,2491.3,0.1488897,0.07444485,0.215960456
09/01/2023,1,1,12,204,3540,47.2326,0.1308474,0.0654237,0.148938249
09/01/2023,1,1,13,205,1343,4865.89,0.1284228,0.0642114,0.360036004
09/01/2023,1,1,14,206,1205,464.326,0.1333692,0.0666846,0.221577606
09/01/2023,1,1,15,207,855,0,0.1403388,0.0701694,0.215832133
09/01/2023,1,1,16,208,999,0,0.1503657,0.07518285,0.360036004
09/01/2023,1,1,17,209,1024,0,0.1578726,0.0789363,0.352916091
09/01/2023,1,1,18,210,1080,0,0.1565883,0.07829415,0.27481048
09/01/2023,1,1,19,211,1324,0,0.1511811,0.07559055,0.356431635
09/01/2023,1,1,20,212,1326,0,0.1390734,0.0695367,0.360036004
09/01/2023,1,1,21,213,1318,0,0.1290645,0.06453225,0.238853478
09/01/2023,1,1,22,214,1321,0,0.122814,0.061407,0.360036004
10/01/2023,1,1,23,215,1331,0,0.1072647,0.05363235,0.360036004
10/01/2023,1,2,0,216,993,0,0.1043127,0.05215635,0.360036004
10/01/2023,1,2,1,217,873,0,0.0953505,0.04767525,0.167359582
10/01/2023,1,2,2,218,917,0,0.0936999,0.04684995,0.360036004
10/01/2023,1,2,3,219,855,0,0.0890046,0.0445023,0.318753093
10/01/2023,1,2,4,220,898,0,0.0953505,0.04767525,0.167269975
10/01/2023,1,2,5,221,1098,0,0.1069371,0.05346855,0.360036004
10/01/2023,1,2,6,222,1235.91,0,0.1265967,0.06329835,0.124965502
10/01/2023,1,2,7,223,1235.91,0,0.1430982,0.0715491,0.147027117
10/01/2023,1,2,8,224,1184.91,0,0.1532043,0.07660215,0.333721801
10/01/2023,1,2,9,225,1271.91,0,0.148662,0.074331,0.358741827
10/01/2023,1,2,10,226,1237.91,0,0.1430982,0.0715491,0.303518432
10/01/2023,1,2,11,227,1265.91,796.388,0.1354347,0.06771735,0.240136915
10/01/2023,1,2,12,228,1270.91,41.4462,0.1336779,0.06683895,0.234083855
10/01/2023,1,2,13,229,1224.91,1169.18,0.1335825,0.06679125,0.11056094
10/01/2023,1,2,14,230,849,61.9134,0.1347471,0.06737355,0.196979798
10/01/2023,1,2,15,231,899,0,0.1352241,0.06761205,0.18740734
10/01/2023,1,2,16,232,861,0,0.1329534,0.0664767,0.349986559
10/01/2023,1,2,17,233,938,0,0.1356156,0.0678078,0.159118395
10/01/2023,1,2,18,234,881,0,0.1308249,0.06541245,0.347138567
10/01/2023,1,2,19,235,867,0,0.1159173,0.05795865,0.28312358
10/01/2023,1,2,20,236,932,0,0.1041498,0.0520749,0.125011725
10/01/2023,1,2,21,237,862,0,0.0928602,0.0464301,0.31872265
10/01/2023,1,2,22,238,891,0,0.0800811,0.04004055,0.302575126
11/01/2023,1,2,23,239,921,0,0.0532251,0.02661255,0.256918049
